team_a,team_b,diff_avg_goals_for,diff_avg_goals_against,diff_win_rate,diff_recent_form,label
Bolivia,Brazil,-1.9583333333333335,2.352564102564102,-0.6730769230769231,-1.0,0
Paraguay,Belgium,-0.15718157181571812,-0.20234869015356827,-0.08220415537488712,-0.6,1
Belgium,Paraguay,0.15718157181571812,0.20234869015356827,0.08220415537488712,0.6,0
Uruguay,Romania,0.1400560224089633,-0.13165266106442552,0.011204481792717103,0.19999999999999996,1
Romania,Uruguay,-0.1400560224089633,0.13165266106442552,-0.011204481792717103,-0.19999999999999996,0
Argentina,Chile,0.48917748917748916,-0.39393939393939403,0.2121212121212121,-0.19999999999999996,1
Chile,Argentina,-0.48917748917748916,0.39393939393939403,-0.2121212121212121,0.19999999999999996,0
Argentina,USA,0.5800865800865802,-0.7878787878787881,0.303030303030303,-0.3999999999999999,1
USA,Argentina,-0.5800865800865802,0.7878787878787881,-0.303030303030303,0.3999999999999999,0
Uruguay,Yugoslavia,-0.05299417064122958,0.14891361950185478,-0.04027556968733442,0.3999999999999999,1
Yugoslavia,Uruguay,0.05299417064122958,-0.14891361950185478,0.04027556968733442,-0.3999999999999999,0
Uruguay,Argentina,-0.1326712503183094,0.30124777183600715,-0.15329768270944744,0.3999999999999999,1
Argentina,Uruguay,0.1326712503183094,-0.30124777183600715,0.15329768270944744,-0.3999999999999999,0
Austria,France,-0.3138515488018703,0.4172998246639392,-0.06078316773816489,-1.0,1
France,Austria,0.3138515488018703,-0.4172998246639392,0.06078316773816489,1.0,0
Hungary,Egypt,1.96875,0.28125,0.46875,0.050000000000000044,1
Egypt,Hungary,-1.96875,-0.28125,-0.46875,-0.050000000000000044,0
Switzerland,Netherlands,-0.35636363636363644,0.8278787878787879,-0.20666666666666672,0.19999999999999996,1
Netherlands,Switzerland,0.35636363636363644,-0.8278787878787879,0.20666666666666672,-0.19999999999999996,0
Sweden,Argentina,-0.09260304912478823,0.40909090909090917,-0.19762845849802374,-0.19999999999999996,1
Argentina,Sweden,0.09260304912478823,-0.40909090909090917,0.19762845849802374,0.19999999999999996,0
Germany,Belgium,0.8453436807095349,-0.6097560975609757,0.34035476718403546,1.2,1
Belgium,Germany,-0.8453436807095349,0.6097560975609757,-0.34035476718403546,-1.2,0
Spain,Brazil,-0.5656779661016949,0.13787483702737924,-0.18155149934810955,0.40000000000000013,1
Brazil,Spain,0.5656779661016949,-0.13787483702737924,0.18155149934810955,-0.40000000000000013,0
Italy,USA,0.42095655348667416,-0.9510770354143849,0.2997444322745527,0.0,1
USA,Italy,-0.42095655348667416,0.9510770354143849,-0.2997444322745527,0.0,0
Czechoslovakia,Romania,0.03809523809523796,-0.023809523809523503,-0.01428571428571429,0.8,1
Romania,Czechoslovakia,-0.03809523809523796,0.023809523809523503,0.01428571428571429,-0.8,0
Czechoslovakia,Switzerland,0.10303030303030303,-0.28787878787878785,0.03333333333333327,0.6000000000000001,1
Switzerland,Czechoslovakia,-0.10303030303030303,0.28787878787878785,-0.03333333333333327,-0.6000000000000001,0
Germany,Sweden,0.5049407114624511,-0.5,0.3339920948616601,1.5999999999999999,1
Sweden,Germany,-0.5049407114624511,0.5,-0.3339920948616601,-1.5999999999999999,0
Italy,Spain,-0.017153359199509888,-0.1909332244231161,0.05064325096998157,-0.20000000000000018,0
Spain,Italy,0.017153359199509888,0.1909332244231161,-0.05064325096998157,0.20000000000000018,0
Austria,Hungary,-1.2359913793103448,-0.1605603448275863,-0.0549568965517242,0.19999999999999996,1
Hungary,Austria,1.2359913793103448,0.1605603448275863,0.0549568965517242,-0.19999999999999996,0
Italy,Spain,-0.017153359199509888,-0.1909332244231161,0.05064325096998157,-0.20000000000000018,1
Spain,Italy,0.017153359199509888,0.1909332244231161,-0.05064325096998157,0.20000000000000018,0
